type;count
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;9
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;2
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;3
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;1
vulnerability;1
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
vulnerability;0
